userType|date|users|sessions|bounceRate|avgSessionDuration|goalConversionRateAll|pageviews
New Visitor|20150101|17481|17481|39.70596647789028|345.1753332189234|0.4576397231279675|90386
Returning Visitor|20150101|13086|17878|32.48126188611701|486.9620762948876|1.6668531155610247|122543
New Visitor|20150102|30029|30009|34.98950314905528|385.3870838748376|0.6631343930154288|168979
Returning Visitor|20150102|24819|35160|28.959044368600683|479.8574800910125|1.1888509670079637|232398
New Visitor|20150103|20324|20304|40.844168636721825|310.52836879432624|0.8815996847911742|98002
Returning Visitor|20150103|16427|23268|33.75881038335912|495.45345538937596|1.6245487364620936|156947
New Visitor|20150104|22055|22055|44.18499206529132|315.8056223078667|0.2720471548401723|101582
Returning Visitor|20150104|16267|22114|33.27303970335534|477.5848783576015|1.1712037623225107|148396
New Visitor|20150105|33151|33151|37.73340170733914|314.6767518325239|0.6606135561521522|153944
Returning Visitor|20150105|29134|40529|26.595770929457917|465.86587381874705|1.1769350341730611|250793
New Visitor|20150106|35597|35578|41.58749789195571|283.4204002473439|0.3906908763842824|150086
Returning Visitor|20150106|29393|41265|27.0374409305707|471.5326790258088|1.3982794135465892|244847
New Visitor|20150107|41166|41106|39.71926239478422|315.91731134141|0.4354595436189364|181726
Returning Visitor|20150107|34384|50135|27.84681360327117|457.95181011269574|0.8736411688441208|289513
New Visitor|20150108|50493|50493|43.95460756936605|256.8954112451231|0.2752856831640029|189323
Returning Visitor|20150108|36711|53138|30.16485377695811|446.54855282472056|1.048214084082954|293908
New Visitor|20150109|37904|37904|38.92992823976361|290.2224831152385|0.31395103419164205|153328
Returning Visitor|20150109|31819|44905|28.742901681327247|447.19051330586797|1.017704041866162|252484
New Visitor|20150110|27245|27245|45.40282620664342|271.7079464121857|0.8038172141677372|108344
Returning Visitor|20150110|19529|27762|34.59765146603271|441.3647071536633|1.9342986816511778|161402
New Visitor|20150111|28239|28219|43.33959389064106|305.56862397675326|0.6343243913675184|121111
Returning Visitor|20150111|20145|29015|36.18817852834741|433.6061002929519|1.0959848354299502|159870
New Visitor|20150112|41822|41822|39.32380087035531|315.0841184065803|0.38018267897278946|185763
Returning Visitor|20150112|35637|50155|29.817565546804904|455.5404246834812|1.3478217525670422|282811
New Visitor|20150113|39197|39157|38.03917562632479|338.6336798018234|0.8121153305922313|189323
Returning Visitor|20150113|35737|50274|27.41377252655448|477.0808171221705|1.304849425150177|305422
New Visitor|20150114|38859|38819|39.80525000644015|322.76756227620496|0.4611144027409258|173115
Returning Visitor|20150114|35975|50672|29.74818440164193|451.12024392169246|1.138695926744553|283567
New Visitor|20150115|53058|53018|40.39760081481761|293.90595646761477|0.7884114828926024|218596
Returning Visitor|20150115|43791|60078|28.732647558174374|448.5310429774626|1.523020073903925|337639
New Visitor|20150116|40529|40510|37.99555665267835|316.84213774376695|0.735620834361886|182601
Returning Visitor|20150116|36612|50652|29.680960277975206|466.8986219695175|1.4925373134328357|286669
New Visitor|20150117|26986|26907|41.09339577061731|312.48165904783144|1.033188389638384|118028
Returning Visitor|20150117|22015|30447|32.853811541366966|454.76020626005845|1.2415016257759386|181229
New Visitor|20150118|29671|29671|39.277408917798525|320.07306797883456|0.6032826665767922|133083
Returning Visitor|20150118|23128|32117|35.60419715415512|394.6311922035059|0.9901298377806147|175879
New Visitor|20150119|46138|46098|37.446310035142524|333.26725671395724|0.6898346999869843|212093
Returning Visitor|20150119|40390|57294|29.399239012811112|449.8954166230321|1.354417565539149|316977
New Visitor|20150120|48484|48345|40.928741338297655|284.81127314096597|0.5357327541627882|198550
Returning Visitor|20150120|44765|61590|32.32180548790388|441.2857282026303|1.3557395681117064|344580
New Visitor|20150121|47589|47510|41.858556093454006|281.16857503683434|0.5851399705325194|192664
Returning Visitor|20150121|42637|61112|33.127699960727846|429.0538846707684|1.0407121350962167|327954
New Visitor|20150122|44745|44745|40.57883562409208|286.926718069058|0.621298469102693|184908
Returning Visitor|20150122|40191|55405|32.053063802905875|414.65699846584243|1.2562043136901002|310334
New Visitor|20150123|37984|37924|39.328657314629254|297.72547727033015|0.5247336778820799|163371
Returning Visitor|20150123|35100|47888|32.06022385566322|421.2867106582025|1.4951553625125293|261333
New Visitor|20150124|27344|27344|45.673639555295495|260.4338794616735|0.43519602106495026|109577
Returning Visitor|20150124|21895|31282|33.94923598235407|455.2419282654562|1.8445112205101977|175959
New Visitor|20150125|29930|29910|42.08625877632899|305.93112671347376|0.5984620528251421|130458
Returning Visitor|20150125|23049|31759|37.44450392014862|430.9396706445417|1.1902137976636544|185027
New Visitor|20150126|43095|43075|38.31921067904817|315.42883343006383|0.41555426581543814|191868
Returning Visitor|20150126|39694|55902|29.634002361275087|446.45352581302996|1.5652391685449536|328054
New Visitor|20150127|41186|41126|37.66960073919175|326.0663813645869|0.6297719204396246|188846
Returning Visitor|20150127|37288|54669|31.248056485393917|475.740328156725|1.4194516087727962|328829
New Visitor|20150128|42458|42419|38.911808387750774|291.39758127254294|0.28053466606945004|177948
Returning Visitor|20150128|39237|54828|29.598015612460788|450.456062595754|1.4864667688042605|312601
New Visitor|20150129|37427|37387|40.5863000508198|273.62765132265224|0.4787760451493835|153367
Returning Visitor|20150129|34404|47649|31.010094650464858|447.4723918655166|1.6285756259312894|266345
New Visitor|20150130|35001|34921|42.484464935139314|281.8328512929183|0.684401935797944|142290
Returning Visitor|20150130|31720|43413|32.340543155276066|432.9647801349826|1.3290949715523|241327
New Visitor|20150131|26290|26290|46.06694560669456|262.76671738303537|0.5287181437809053|103133
Returning Visitor|20150131|20384|28975|37.06298533218292|410.40362381363246|1.5116479723899914|157902
New Visitor|20150201|22293|22293|49.32938590588974|245.36576503835283|0.5337998474857578|85633
Returning Visitor|20150201|17958|25276|36.90061718626365|431.60598987181515|1.8080392467162525|146208
